word,count
the,5315
no,3861
are,3778
is,3676
and,2384
pleural,2162
or,2094
of,2085
normal,2038
there,2010
heart,1777
xxxx,1692
lungs,1636
focal,1529
within,1342
size,1299
in,1194
pulmonary,1049
normal.,1027
pneumothorax.,994
limits.,945
effusion.,875
pneumothorax,759
mediastinal,744
clear.,743
right,736
silhouette,735
cardiomediastinal,718
airspace,699
effusion,667
left,623
acute,585
"consolidation,",524
clear,521
lung,515
with,510
structures,500
changes,474
unremarkable.,473
mediastinum,469
bony,466
thoracic,459
a,420
degenerative,404
mild,392
spine.,386
without,385
stable,383
large,377
contours,367
"effusion,",366
osseous,353
cardiac,351
"pneumothorax,",347
consolidation.,347
appear,345
size.,335
calcified,333
limits,317
disease.,313
for,313
vascularity,306
evidence,305
intact.,302
upper,283
visualized,279
abnormality.,275
to,271
contour.,263
seen.,255
xxxx.,243
lateral,239
vasculature,221
lower,195
air,186
identified.,182
grossly,172
bilaterally.,169
noted.,164
on,160
opacity,159
free,158
prior,155
bilateral,153
effusions.,153
chest,150
low,147
space,144
aorta.,138
contour,138
small,137
lobe,136
effusions,136
opacities,135
hilar,130
soft,128
pneumothoraces.,126
present,123
thorax,120
visible,120
